Name,Rating,Address,Phone,Review 1,Review 2,Review 3
Moge tee & Korean Style Chicken,4.3,"848 Spring St NW, Atlanta, GA 30308, USA",(404) 963-7986,"Great place, clean, open till late, delicious drink menus. Go for 30% sugar if you don't like sweet. 50% was still a bit sweet for me.","I had drumsticks today, but the smell was soooooo bad... 🤢I’ve never had such a strong, unpleasant chicken odor before. This really needs to be addressed. But tender is good.","We had a fantastic experience here! The staff was incredibly friendly and welcoming. It was our first time there, and the person taking our order was very patient. The atmosphere is also very relaxing.

One thing we really liked was the the flexibility in how you order—you can place your order at the counter or use a kiosk if you want to take your time (great for those days when you just need a little space).

The matcha tea… Absolutely amazing—easily the best we’ve had in Atlanta! We’ll definitely be back."
Park 27 Korean BBQ and Bar - Midtown,4.3,"950 W Peachtree St NW Suite 255, Atlanta, GA 30309, USA",(770) 727-7275,"Solo dining at a Korean BBQ place is a great change of pace from being in a group. I am here in Atlanta for work. I didn’t want the fact that I was a party of 1 to stop me from getting my meat on. And it did not. I dove in with the marinated short rib and it was spot on. Just as good as many of the other great kbbq places I’ve been. I also went with the thin sliced pork belly which was crispy and delicious and perfect for dipping in all the sauces. Best of all, I didn’t have to grill any of it myself! No extra effort and no taking the smoky aromas home! Or in my case hotel. Just beautifully cooked short rib and pork belly served up by staff who were friendly and helpful despite being very busy. When you’re ready to order, don’t forget to hit the call button next to the table. I enjoyed my solo experience and who knows? Maybe I’ll bring some folks along next time…maybe.",Great restaurant with a magnificent decor and great food. The service at the bar was really slow.  Next time will pick a table. Lots of flavor and very unique  menu. The price is extremely competitive for the area. Overall was a good experience. Will def comeback with friends. Highly recommend we,"Absolutely fantastic experience! The food was incredible—fresh, flavorful, and perfectly cooked right at the table. But what truly set this place apart was the outstanding service. The staff was not only friendly and attentive but also incredibly knowledgeable, making the meal even more enjoyable. Ask to be helped by Jofran! He is the man!

The atmosphere is vibrant and full of energy, making it a perfect spot for a fun night out.

If you have never had Korean BBQ get your butt in here and try!"
CM Korean Fried Chicken & Ssong’s Hot Dog,4.2,"525 10th St NW, Atlanta, GA 30318, USA",(404) 881-8856,"Real good!
Pricey and for me was great.
I wish the tenders could be a little bigger but still a great place to eat.
All cooked to perfection.
Very modern way to order at the big screens.
Was fast.
We ordered chicken, and I should try different flavors.
Absolutely, I recommend this place!
Also, I ordered Bobba
Yummy!🥰🥰🥰🥰",All the food we ordered was delicious. We were traveling and stopped because they had great reviews. We will definitely come back anytime we drive through. The staff was all lap helpful and nice.,"Stopped here because Rocky Mountain Pizza’s kitchen canceled my door dash, and after I took a Lyft thier kitchen had JuST closed. I am not disappointed as their automated ordering and fast service ended up producing delicious and hot food. Some of the locals mentioned it’s open until 2am for all your early morning munch needs!"
Pelicana Chicken Atlanta,4.9,"420 14th St NW #100A, Atlanta, GA 30318, USA",(404) 856-3960,"So we just stumbled upon this restaurant as we were walking past it. Saw the great reviews so decided to try it. There is a big halal sign outside and very also verified with the owner that their chicken is halal. That was the main reason for us to eat here.

Service is great and welcoming. Served small cups of Korean coffee on the house.

We ordered the full chicken, spicy and crispy with side of garlic sauce.

It was good but my observations were 1) full chicken is cut up into 14 small pieces but some pieces just have a lot of crispy batter but no real meat, just bones. Even the pieces that have meat, have a lot of extra batter but not much meat 2) the 3 sides are very small for a full chicken platter

Overall, it was good but not great. Didn't feel like we got a full chicken.","Food and staff were excellent. Best wings and french fries I have ever had. Staff was extremely friendly and attentive. Wanted to give them 5 stars, but we had 2 young children, and the music at first was VERY explicit and inappropriate. Once they noticed they changed the music. Parking was also limited, and had broken glass like someone's window had been busted, so was a little worried parking my car behind the restaurant. Like I said best wings I've ever had, and the fries were amazing too! If we ever visit Atlanta again we will absolutely be going back.",Been riding past this place for a long time. Finally decided to stop in on a Saturday night. Wasn’t crowded at all. Not much parking in the front but there is a parking lot right in the back with plenty of free parking. The Atmosphere was amazing the lighting the cleanliness and just overall customer service was top tier! Let’s not forget about the food because that was the icing on the cake! Food was hot and fresh tasted amazing. I’ll definitely be back☺️
Mukja Korean Fried Chicken,4.5,"933 Peachtree St NE Suite 951, Atlanta, GA 30309, USA",(404) 855-5516,"Mukja Korean Fried Chicken delivers a crispy, flavorful punch that’s hard to beat. Their signature wings are perfectly fried golden, crunchy on the outside, and juicy on the inside! 2nd time visiting here and they still deliver consistent food and service as well!","I thought i left a review. Anyway, I came during AWA and this was my first time. I had a gift for the owner but he didn't work that day maybe next time😅. Food wise everything was great definitely has a bit of spice but it was flavorful and you could see and taste the love they put into this. Also, there was a parking deck right next to the store with varying times. My order took about 10-20 mins(large order) and i didn't even have to pay. 100% check this place out",Kevin the gentleman behind the counter was so cool. Explaining everything on the menu to us. It was our first time. Food was A1! Customer service A1! Never had kim chi on Mac & Cheese before. Chicken was juicy and seasoned well!
Park27 Korean BBQ and Bar - Centennial Park,4.7,"275 Baker St NW Suite B, Atlanta, GA 30313, USA",(404) 390-3009,"If you are looking for a different dining experience, this is the place for you. You get to socialize and cook the food and then enjoy the great food. The staff here go above and beyond, will give recommendations and assist you with grilling the meats. Very accommodating. We did the all you can eat dinner option and was not disappointed. Ate more than we probably should have and everything was amazing. Definitely worth the price. Meal comes with lots of banchan (side dishes located around the grill) and four difference sauces to dip your meats into. Highly recommend.","We got the AYCE Lunch menu (eat all you can) and it was very good! I like how the meat was fresh. The meat was cooked at the table and it was a great experience. There were also a lot of side dishes that complemented the meats they offered, fresh and yummy! Also, I very much like the service too, we were served by Jofran, he is very friendly, fun, and attentive, nice to talk too. I would definitely go back here again and try their other food. Definitely a worth the stop experience!","Just had an incredible dinner at Park 27 Korean BBQ and Bar! The modern vibe and top-notch quality of the food blew us away.
🍷The house Cabernet Sauvignon was the perfect pairing, thanks to the friendly staff for the great suggestion!
If you're craving delicious Korean BBQ in a lively atmosphere, this is the place to be!"
Kwan's Deli and Korean Kitchen,4.5,"267 Marietta St NW, Atlanta, GA 30313, USA",(404) 522-9796,"Overall thoughts: wide array of cultural foods with an option for everyone's tastes. Great spicy chicken sauce that I will continue to think about for a while.

Food:
We got the spicy chicken set and the Philly cheese steak with fries.

Whatever the sauce is on the spicy chicken is ✨️MAGICAL✨️. 10 out of 10, if they bottled it and sold it, we would buy some to take home.  We used it on the fries and on the Philly Cheese Steak, and it was fantastic!

The chicken itself was juicy and held a nice layer of the spicy sauce well. The set came with 2 banchan (Korean word for side dishes). These were not your traditional Korean side dishes. However, they are delicious and go well with the meal. They also have a lot of the same flavor notes (sweet, sesame, and vinegar) as what you may see in a more traditional setting.

The Philly Cheese steak is great. The bread was perfect, the meat was well seasoned, the onions and peppers were perfect, and they still had a little crunch to them. The cheese had a great pull (it was provolone), and the fries were crispy.

We also got a side of kimchi. It was crunchy and went great with both meals. We actually bought some to take back to our hotel and have with meals we cook in the room.

Service:
The service was fast, we walked up to the counter and ordered without a wait. Food was out within 10 minutes.

Atmosphere:
There is both inside and outside seating. Centennial park is right outside the restaurant which puts it in a peaceful area. The restaurant is clean but overall the decor feels like a school cafeteria. Also, soft music in the background would help it to feel more cozy.",I was taking a break and found this place near where I parked. Great little deli and I tried the Ruben grilled sandwich and chips. It tasted pretty good. Definitely a nice place to eat when downtown.,"Kwan's Deli and Korean Kitchen is an absolute gem! The fusion of classic deli sandwiches with bold Korean flavors is brilliant. I had the Philly cheesesteak, and it was loaded with tender meat, gooey cheese, and perfectly sautéed mushrooms. The fries were crispy and fresh! Their Korean dishes are just as impressive—bibimbap and bulgogi are must-tries. Friendly staff, cozy atmosphere, and great value for the price. Highly recommend!"
Bull Gogi,3.8,"245 Peachtree Center Ave NE, Atlanta, GA 30303, USA",N/A,"Located in The Hub food court, Bull Gogi offers a decent selection of meats, vegetables, and toppings to build your meal. The quality of the ingredients is satisfactory, and the prices are reasonable for what you get. The staff is friendly and welcoming, which enhances the overall experience.

However, I have some concerns about the cleanliness of the establishment, which could use improvement. While it’s a convenient and tasty option for a quick bite, a little more attention to hygiene would make it even better. Overall, it’s worth a try if you’re in the area and craving Korean-inspired flavors.","So I stopped by here real quick to get some to eat on my lunch break . I ordered fried rice and teriyaki chicken. The fried rice tastes exactly like peanut butter for some reason and the teriyaki chicken tastes burnt . It was only $8.35 ,but I will not be returning to this establishment because why does my food taste like this ?? But presentation wise the food looked good and clean .","Food is fresh, delicious & always consistent. Have been eating here for years & am never disappointed. I love the honey & pepper chicken with fried rice & green beans! Delicious"
East Wave Kitchen,4.3,"60 Luckie St NW, Atlanta, GA 30303, USA",(470) 667-4394,Service was incredible. The Bingsu was so good that my friends and I came back TWICE in the same hour to order more. 1000% a must when visiting Atlanta.,"Neat restaurant
Kindest owner
Soooooo tasty!
Cheap price
Do you need more?","To start, I had no clue this place opened up recently! I originally thought it's been closed for four years, but it reopened under a new owner I think.

This menu is entirely Korean based food, unlike the fusion I've seen in older menus.

I got kimchi + spicy pork + rice and it was delicious for the most part. The price and portion is great for the area. The spicy pork was actually spicy and pretty strong while the kimchi was fermented and strong but savory. My only complaint was that the rice was a little stale.

They provide self-service kiosks and have very hospitable workers. The atmosphere is also very chill but gets full quick during lunch times."
Park Place K-BOB,4.7,"55 Park Pl NE suite#107, Atlanta, GA 30303, USA",(404) 653-0080,"Are you considering Catering Korean Foods? If then, look no further. This place is situated in the heart of downtown Atlanta. Their foods were absolutely scrumptious as well as the owner and other staffs are super friendly and amenable. Top notch services and quality as you can see my photos. Thank you! 😊🙏🏻
We definitely would be ordering again.",The food is really good! really fresh and tasty! I ate the spicy pork cup bob and is 100% recommended.,"If you're ever around the Georgia State University Graduate Admission Office, you've gotta check out Park Place Deli! Their fried vegetable dumplings are absolutely incredible. Crispy on the outside, and filled with flavorful veggies and tofu inside – it's a total game changer. Whether you need a quick snack between classes or just craving some tasty Korean food, this place hits the spot!"
Blossom Tree,4.6,"64 Peachtree St NW, Atlanta, GA 30303, USA",(404) 223-7500,"We were staying nearby and ordered Blossom Tree for delivery through a 3rd party app. The food arrived hot and delicious!

We tried the Spicy Grilled Chicken Rice and the Crispy Chicken Rice. We enjoyed both, but the crispy chicken was our favorite. The Korean Pickles were our favorite side, and we'd definitely recommend trying these alongside the crispy chicken.","The food here is fantastic! Fairly quick service. Not a whole lot of seating options and the space is pretty tight. When this place gets busy, people are practically standing over you while you eat...but it won't keep me from going back!",Absolute nightmare 😫 I waited well over 15 mins for my food which was Luke warm and NOT fresh! This place used to be sooooo awesome the prices are higher and the quality is horrible I also found a small piece of wire in my food when I call to report the Mgr was def not trained in customer service and told me to walk the 38mins back to the restaurant so she could see (pics included) I'm so glad experienced this before I ordered lunch for my entire department from this place their loss definitely $$$$$ on both my personal business and hundreds on a catering contract 😀 save your $ don't eat here!!!
Umma Kitchen Midtown Atlanta,5.0,"931 Monroe Dr NE A101, Atlanta, GA 30308, USA",(404) 875-0800,"We stopped by today and it was a great experience. It’s a very cute and comfortable atmosphere dining in. The ordering process was simple and quick. The food came out hot and very fast. Ultimately, the food was amazing, very fresh and well seasoned. The owner is very kind and I would highly recommend stopping by if you’re in the area.","Been going here for almost a year now. This place deserves to be known (and it probably already is). Fresh, good quality food (I haven’t been disappointed from anything here), great/simple and clean aesthetics inside, reasonably priced. Cool little Korean snacks/ramen. Terrific customer service. I’m not sure if this is the same management/owners as the previous one that was here, but this current owner is killing it! I hope this one stays here for a while! (Large poke bowl pictured)",We stopped by this adorable restaurant before heading to a comedy show. Everything about the experience was awesome. I ordered the boolgogi bibimbap and it was so delicious! The staff were so friendly and hospitable as well. I highly recommend this place! 5/5 stars.
Letsbap,4.4,"206 Edgewood Ave NE Suite B, Atlanta, GA 30303, USA",(404) 963-2237,"EXCELLENCE - the term “holes in the wall” truly came to life with this place. As a lover of Korea, I was recommended this place for it’s convenient location and elaborate menu. When talking about simplicity and essence, I believe Let’s BAP has it all! I placed a takeout order and ran to the store within 7 minutes and my food was ready - not only that - it was fresh, delicious, and impressively beautiful. I insisted in sharing with my co-worker because I couldn’t enjoy all that goodness alone. The variety within the CupBap arrangements and sides is very nice to me. I promise, I’ve never had Korean food this good in this area of Atlanta. Genuinely feel like I’m eating food from the most talented and adorable “eomma” (엄마 mother in Korean). Surely will keep coming back for comforting tteokbokki, filling japchae, and mouth-watering tofu. Huge check on my list!","I have driven by this place for four years, and finally stopped in today. Blew me away. I got the A1 with an additional bulgogi Kim bap (I was hungry). Everything was outstanding and delicious, and I am half Korean with high standards. The A1 was a little pricey for what you got, but the à la cart Kim bap gave generous portions and was super cheap.","Tasty, affordable, and healthyish, my takeout favorites!

We got delivery from Postmates, and tried a bit of everything. The standouts were the tofu rice pockets (yobuchobap), and the glass noodles (japchae). The Dosirak was a lovely sampler!

We don’t know much about Korean food, so I had to do some googling to figure out what I was ordering (would love to see more photos of the menu items on Postmates and the website!). Was super speedy and packaged very securely - even the sauce containers were Saran-wrapped. Would try again!"
moonbowls (Healthy Korean Bowls- Forrest),4.2,"800 Forrest St NW, Atlanta, GA 30318, USA",(866) 692-9615,I had a phenomenal experience with Moonbowls and I will definitely be ordering again! I got the cauliflower bowl and I was so impressed. Next time I'll tell more friends about it too!,"I felt really good about my meal because it was healthy, reasonably priced, and delicious! This will be my go-to place when I’m too lazy to cook. I ordered 2 meals: one for today and one for tomorrow. The bbq chicken bowl was on point! I can’t wait to taste the fried cauliflower bowl tomorrow.",Picked up a delivery from them one time for dinner and the food was just amazing. The midden feel too heavy and felt perfectly spiced and tasty and it was a great dinner that felt light healthy but at the same time tasty and fun to eat. I will definitely be ordering from here more and love their take on approaching healthy and sustainable food
Umbrella Bar,4.5,"675 Ponce De Leon Ave NE, Atlanta, GA 30308, USA",(404) 481-6670,"I initially visited Umbrella Bar for their chicken bites, but I became a regular thanks to Ayanna. Her warm hospitality and vibrant personality make every visit enjoyable.","I got the Beef Bulgogi Bibimbap and it was delicious! The meat was tender and flavorful, the egg and rice were cooked perfectly, and the veggies were super fresh! I also got a Thai Iced Tea and it was wonderful! Shout out to Chef Patrick for being very kind and willing to answer any questions! I'll definitely be back. Excited to try more items on the menu!","As someone from a VERY boring food landscape (Montana), getting the second chance in my life to get a Korean corn dog was a necessity on my trip to Atlanta. I’m so happy to have gotten to eat food from this spot instead of literally anywhere else, the atmosphere of the restaurant was super welcoming and the employees were so kind and fast! I could not recommend this spot more. I got the Mozza K-Dog and the Bulgogi Beef Tater Tots and they were INCREDIBLE. The photo does not do it justice, holy moly! I don’t want to go back to Montana when food like this exists 😭"
